"State","Size","Count"
"alabama",0.00139411348907104,1003
"arizona",0.501027626607791,1006
"arkansas",0.00443217125841387,1008
"california",0.997467020557603,1004
"colorado",0.500203840788899,1004
"connecticut",0.747951195748475,1007
"delaware",0.994346271260725,1010
"district of columbia",0.996703597553032,1004
"florida",0.500083218322412,1007
"georgia",0.500927558475577,1004
"idaho",0.00453084183298973,1010
"illinois",0.994852332396226,1013
"indiana",0.250984260980467,1003
"iowa",0.499991333931186,1008
"kansas",0.252761533140745,1007
"kentucky",0.0025878066085242,1008
"louisiana",0.25139769941619,1010
"maine",0.747035321905079,1009
"maryland",0.998198821491681,1007
"massachusetts:martha's vineyard",0.995568380865849,1010
"massachusetts:main",0.995876506458264,1011
"massachusetts:nantucket",0.996628641020618,1008
"michigan:north",0.501425109837202,1007
"michigan:south",0.499921484582303,1005
"minnesota",0.749261067829915,1005
"mississippi",0.252096276600228,1006
"missouri",0.250996983723269,1006
"montana",0.251101502359135,1005
"nebraska",0.252802112961585,1010
"nevada",0.499045832556407,1004
"new hampshire",0.500594509292222,1008
"new jersey",0.7493597392701,1008
"new mexico",0.746059099196628,1011
"new york:manhattan",0.998543305990408,1004
"new york:main",0.999449517149208,1001
"new york:staten island",0.999011567204876,1005
"new york:long island",0.995784668110741,1008
"north carolina:knotts",0.499934093968361,1006
"north carolina:main",0.500132363947544,1005
"north carolina:spit",0.499231173900743,1013
"north dakota",0.00373407697257568,1006
"ohio",0.500608955189819,1008
"oklahoma",0.00618290935809588,1012
"oregon",0.749422562999948,1009
"pennsylvania",0.500212799683038,1007
"rhode island",0.995367837695976,1009
"south carolina",0.250753554847162,1004
"south dakota",0.250527813846362,1012
"tennessee",0.00453384752411215,1007
"texas",0.00647940259199523,1012
"utah",0.254213680914509,1013
"vermont",0.995938013901145,1008
"virginia:chesapeake",0.498899877126787,1009
"virginia:chincoteague",0.500560254795669,1007
"virginia:main",0.499928367560007,1008
"washington:san juan island",0.999208438033712,1004
"washington:lopez island",0.997493614279341,1008
"washington:orcas island",0.996786507168394,1007
"washington:whidbey island",0.997221436055586,1007
"washington:main",0.997202330780869,1006
"west virginia",0.00281084980168256,1007
"wisconsin",0.499100190876701,1005
"wyoming",0.00304694421373885,1007
NA,NA,NA
